,Review,Rating,Score
10,"Marina Bay Sands Hotel is divided into 3 towers, which offers views of the city or Gardens by the Bay (GBTB). The hotel is linked to The Shoppes and Convention Halls, and GBTB is just a link bridge away. Nearest MRT station (aka subway) is Bayfront.",40,1
11,"By unpersonal approach I mean that hotel is so huge and occupied that you r hving feeling that you r checking in to a good deal hotel in the middleOf shopping centre... It is majestic but for a 400 €/night without breqkfast you should get more. Even though, only hotel guests are allowed to a legendary roof top infinity pool, its totaly crowded, in the morning or evening or in rain...always! As well as to get a (good) table in rooftop restaurant is difficult...Food and drinks in hotel are very expensive.The music bar is cool with a great ambience but again totaly crowded...no chance to get even a stand by table...Rooms are amazing, i have no complaint abt that...luxury, comfy..and the view is spectacular...Would not visit it again...not worth the money...",50,1
12,"Have not been to Singapore in over 7 years so wanted to experience the newer and very famous Marina Bay Sands. Maybe due to the casino and convention areas I really felt like I was in Las Vegas. Mix of convention attendees, families, couples and tours. Besides the early morning everything and everywhere is bustling and crowded. If you want kind of a overwhelming resort/casino experience this is the place to be. Our suite was huge and kept very clean. Staff at whatever breakfast venue we choose were amazing. The main attraction is the infinity pool which for me was a major disappointment. Did not utilize at all. Always crowded with most taking selfies in and out of the water. Water in the pool itself was cloudy. Just walking around was difficult due to the amount of people taking pics. People in the elevators wearing their hotel bathrobes going to and from the pool. Always at least 6 people in bathrobes on each of my elevator rides, seemed a bit odd. Attached to a luxury mall was very convenient.Again if you want to be overwhelmed this is the place to go. Great location, walking distance to the Gardens by the Bay. Again, staff is amazing.",40,1
13,"What a hotel, stayed for 4 days this place is amazing. From the minute you walk in its 5* service.Had a garden room with amazing views, room was large with a balcony.There are 3 restaurants for breakfast 1 of them on the roof. We found ""adrift"" to be the best smaller and more personal than others with better choice of food.The pool is awesome also on the roof is a bar/night club CÉ LA VILAVO Italian bar & restaurantSpago by Wolfgang Puck.We ate at LAVO,( had a lovely steak) And also at spago its more sharing bit (ribs sliders) There is a casino and an amazing shopping centre attached to the hotel with some great bars and restaurants. Had lunch at bread street(Gordon Ramsey) Of a night there is a water and lazer show on marina Bay itself.My only complaint.... We weren't leaving hotel till 8pm, After 11am check out you can't use pool area so we were abit stuck on what to do for 9hrs... But there is a room to get a shower. ",30,1
14,"I booked for a room for my birthday celebration. Upon arriving, the checkin/check out are was so crowded, because it was common area where people transfer from malls and other nearby places. Long que for checking in ,but they gave a small cornetto ice cream and water. The front desk officer greeted me a happy birthday,but nothing special or letter on the room like other hotels do. We arrived 2pm and the standard check in time is 3pm, so they gave us a temporary access to pool and bar at 57th floor, and they will just send an email once room is available and they have done it. I can say that the room is typical like 3-4 star hotel set up. Far from my expectation. We decided to went up at infinity pool which is our main purpose of stay, but unfortunately the weather is bad and they have to close it temporarily due to thunderstorm, we stayed at celavi, bar outside the pool, while waiting. They resume opening the pool after an hour. I can say that my stay at MBS is very usual, nothing special on facilities and services in which I expect given that they price is too high for a night. Value for money . Hust for the sake of experience.",50,0
15,"Whether viewing the bay on foot or from one of the bay cruise boats it’s truly an amazing accomplishment.Massive buildings, Gardens in the air with all the Fullerton Hotel and all the sky scrappers looking inwards its an experience not to forget.",30,1
16,"Marina Bay Sands as a hotel didn’t stand out to be anything special from a hotel perspective, on par with most other 5 star hotels around the world. The best thing about it as expected was the pool experience. It’s worth staying here and the premium just for that, incredible and well worth it! It does get very busy, although we noticed that people are mainly there for a photo and leave. As well as the pool, there are also some Jacuzzi’s which are not as well known about, providing the same experience facing the Gardens By The Bay. This was impressive. Pool is open late too (11pm). ",50,1
17,"We stayed for 1 night in this amazing hotel in a club room during the week of the Grand Prix. What can I say it was fabulous right down to the cream tea,  drinks and canapes. The room was beautiful and we overlooked the amazing city and directly in front of the light show which we watched from our very own lounge seating area. The hotel staff were fabulous but the most impressive was the young lady who spoke to my husband using his surname after only 1 visit to the club room dining/lounge area (Thank you so much as this made our stay so personal. The infinity pool although busy was an experience we will never forget, it's open till 11 at night so you get to view the skyline in the evening - Amazing. Fantastic Stay and absolutely loved it. Ended our holiday with a bang. Thank you so much Singapore, you are an amazing City. ",50,1
18,"We just stayed at this hotel. We booked an upgraded room to take full advantage of the perks such as Club55 and the higher level rooms. We ended up staying in the orchard suite which offered the most amazing views and was huge for the two of us. If you’re booking this hotel thinking you are going to be getting the best room in Singapore, you’re deluded and I personally think it’s unfair to rate this hotel just on the room. I imagine there are much nicer rooms on offer in singapore but a hotel on this scale is never going to be able to offer the best rooms due to the sheer upkeep on the whole hotel, you book this place for so many more reasons other than a hotel room. In our opinion the whole hotel makes up for not having the most plush room to rest your head or the service sometimes being a tad slow. The views, the shopping facility, the service, the pool, the bars and restaurants, the water/light shows and amazing staff make the hotel fantastic. We were pleased with our room, the hotel and our experience. We wouldn’t hesitate on staying here again and would definitely recommend Marina Bay Sands. ",50,1
19,"If you want to stay at an iconic hotel in Singapore this is the only place to stay. Yes it's incredibly busy with 2500 rooms, plus additional visitors to the restaurants, roof top pool and shopping complex but despite all that the service is fast friendly and efficient so much so you never seem to que for anything, well other then check in!. We stayed in a suite which was large well equipped with fantastic views overs the gardens and sea. Yes it feels big busy and like an airport when you first step in but get past that and the MBS lives up to its 5star billing. It's pricey but defiantly worth the price, and you must try the pool!",50,1
20,"What can I say other than AMAZING HOTEL. The hotel room was fantastic with brilliant views of Gardens by the Bay. The staff are so helpful, nothing is too much for them. Even down to the towel decorations!! The beds are an absolute dream to sleep in and the facilities are just the best. The infinity pool was incredible. I can´t think of anywhere else to have celebrated my husbands 50th birthday other than here!!",50,1
21,"excellent for one night stay, you know, bucket list Overpriced and overcrowded, too many people, not enough luxury.We had “upgraded “ room with no seat for a guest, no shaving kits, and you don’t want to see what is going on behind ( very outdated) tv , seriously, clean it , at least once a year.Very strange rules for the mini bar, drank one can of coke, charged for four and pineapple juice, which I didn’t even see.Stuff is nice and efficient, view and pool amazing.Not coming back though, checked ✅",50,1
22,"Stayed here a couple of times on business and private trips to Singapore over the past years. The reason for choosing MBS is always the same: It's amazing skyline views from the room and from the rooftop lounge!If you are staying for business, the hotel is also in close proximity to all major financial and commercial hubs.The only flaw that I encountered during my trips is the relatively low level of personalised service for Asian standards. Due to the high popularity and number of guests check in and check out can feel like a mass processing.",30,1
23,"Convenient location for our family as we have a 2 year old toddler, they have an overpass that connects the hotel to gardens by the bay which is great to visit at any time of the day. We stayed 2 nights, very professional service by the hotel staff, fast check-in/check-out. Even though the lobby is busy you don't get the feeling of it being overcrowded, the staff handle it well. The rooms are really spacious, clean and a joy to stay in and infinity pool was worth the visit and not overcrowded, just beautiful views! Even though the hotel is undoubtedly very expensive, if you have the money, don't hold back! Give it a go, at least for one night! From the shopping centre that connects to the hotel, to the casino, to the convenience of the MRT below and for the proximity of the hotel to the gardens by the bay, you won't be disappointed",40,1
24,"We stayed at the Marina Bay Sands in November this year. This place is amazing and should be on everyone's bucket list. We were o the 48 th floor in Tower 2, the views from the room over the Singapore were spectacular. the room was luxurious and extremely comfortable as was the bed.The shower room was huge and it had a separate bath. There is an espresso machine in the room and bottled water is provided daily.The infinity swimming pool on the 55th floor provides you with the best views in all of Singapore. The only issue is that the pool is only 1.2 metres deep and is always crowded with people constantly taking selfies, still worth a look and a refreshing escape form the humidity of Singapore.We also paid extra for access to club 55 , which is on daily from 5.00 - 7.00 pm and provides complimentary food and drinks during that time.The breakfast buffet has the most diverse and comprehensive range of options that I have ever encountered, not to mention that the food itself is delicious.The hotel itself is well appointed and amazingly decorated. We ate breakfast at drift on the ground floor and could not fault it.The Staff are extremely polite and helpful.The only issue if there is one is that this place is crowded, it has 2,500 rooms available and regardless of the time (day or night) there are always people milling around or walking through the expansive lobby.Overall, this place is a must for any one travelling to Singapore, well worth it although it is a bit pricey ($2,600 AUD for 3 nights). But you do get what you pay for, could not fault it.",50,1
25,"We booked a grand club room and loved it. We had a amazing Singapore city view as well as access to club 55 which had a delicious breakfast as well as snacks throughout the day. This hotel is know for the views. We have friends that live in Singapore and without knowing where we were staying they all booked restaurants at the marina bay sands for the view. Luckily we had the same view as the restaurants from our bed. The infinity pool is definitely worth a visit and was not overly crowded even though it was great pool weather. The downstairs of the hotel has a great cocktail lounge. I cannot remember the name but the cocktails are the best I have had. If you want to shop, the attached mall has every designer you could ever imagine and a whole wing of High end designer children’s clothes. Fantastic people watching. I would do a club room because the club 55 perks are worth it. ",50,1
26,"Since this is our honeymoon trip, we are more willing to spend more on the trip, that’s why we chose this special and luxury hotel for our special occasions.As we arrived Singapore in the earlier morning, that’s great the hotel let us check in at around 11:30, we could stay in the hotel to take some rest.I sent a confirmation email to the hotel before let them know my requests, I do appreciated they arranged the room decoration and high level floor for our honeymoon.The hotel is really convenience for shopping and some attractions visit as there is a high-end shopping mall next to the hotel and there is “Garden by the bay”, “top roof swimming pool” and ArtScience Museum which are recommended. But when I went to the top roof swimming pool the security over there are impolite. That’s weird I went through the entrance but when I wanted to leave the security in the exit shout to us and said we cannot stay here simply as the swimming pool is closed? I was wonder if that’s closed why no one stop us from the entrance ??? How come the security knows I just passed by but not going to have a drink on the bar? This made me feel bad for this hotel. Apart from that everything is fine.The top roof swimming is worth to visit which is so beautiful. But honestly speaking apart from that nothing special for this hotel.",50,1
27,"Undeniably the nicest hotel in Singapore. Absolutely stunning and surprises around every corner. The grounds and views are spectacular and the service is unparalleled. Keep in mind, you pay a premium, but if you're ever in Singapore, it's at least worth the splurge for a night.",50,1
28,"mass production.You pay for pool access, a very good location, a spectecular building and stunning views!In all other aspects expect a 3-4 stars hotel experience at highly overrated prices for what is delivered.It was a nice experience, but i would not have to stax there again, would choose another Singapore hotel with higher hotel standards and spend the difference there, where you for sure get a better and more personalised hotel performance, if you are looking for this.Nothing really to complain, but as i said, it is mass production  ",50,1
29,"Stayed for 2 nights at MBS, check in was fine and friendly we were initially allocated room next to air conditioning unit that was noisy but as we arrived very late on we it up with a fragmented nights sleep. Following morning Terry swapped our room to overlook bay and gardens which was much improved. Rooms are spotless and great nights sleep was had. Breakfasts are fabulous with choices to satisfy everyone. The infinity pool and upper viewing areas are what makes MBS famous and have to be seen to be believed. ",30,1
30,Must visit the Food Court of MBS it is not your ordinary food court plus the other high end and average restaurants in the complex is fantastic.Catch a show if you see something you like when you are there. Casino is not good for non smokers.,40,0
31,"This hotel certainly wowed us. We only stayed for 1 night but it was spectacular and well worth the high price. The service is first class, everything is so clean and luxurious. Our room was on the 9th floor and we had an amazing view of Supertree Grove (pic attached). The infinity pool is worth the hype and I can honestly say I've never had a hotel experience like it before. I wish I was wealthy enough to stay here for longer.",50,1
32,"This hotel definitely has the wow factor. Our luggage was taken from us as soon as we stepped out from our taxi and transferred to our room while we checked in.We arrived at 11 am after very long flight, we were aware check in time was at 2pm but lady receptionist kindly checked us in early for no extra cost. The lobby looks like an airport to be fair, definitely lack the personal feel.Our room was on the 42th floor, we had the garden view - the view is just breath taking, the bed really comfortable and room spotless.The highlight of the stay is the pool area. It is very busy but you kind of expect that when the hotels accommodates thousands of guests! Only downside is - everything - EVERYTHING in that hotel is very expensive. Little bottle of tiger beer 20 SGD, you are not allowed to take your own drinks (not even the ones from their own mini bar) to the pool either - I didn't know that and got told off by the staff and there is only two smoking areas - one outside the hotel and one on the other side of the pool. So from 42th floor it takes you good 20 minutes to reach either of them.We didn't eat in the hotel but ordered room service on our second day - food was lovely but very pricey.All in - impressive building, ticked it off from my bucket list - would I stay again considering the price we paid? Only if I won lottery, otherwise no.",50,1
33,"Stayed here on our last night of our honeymoon. We always wanted to stay at this hotel and it did not disappoint. The room was enormous with floor to ceiling windows commanding sweeping views over the Singapore skyline. It had one of the best bathrooms ive ever been in a hotel with a very impressive walk in shower. The check in process was faster than I expected given how busy the hotel is. The pool is fascinating and one of the great experiences of Singapore. It can get crowded but it is a nice place to spend the night or the day enjoying one of the worlds best views. Just dont forget sunblock. It can be a little cool on top of the pool so dont expect optimum climate for swimming, despite being in tropical Singapore.",40,1
34,"Thye Hong in Rasapura in Marina Bay Sands is guaranteed to be serving delicious food, a little bit pricy for me bit then I can really say its yummy! you just need to wait maybe around 5 minutes if the place is not so busy and cravings solvedvery tasty!!!",50,1
35,"The views from the hotel pool are absolutely stunning, and room views are also incredible. Staff are all incredibly nice and helpful people. The only issue is towels need to be collected from pool chairs when people stop using them to avoid confusion. Otherwise, totally worth going to take some instagram worthy pictures!",50,1
36,"We were in Singapore for 4 nights as an extended stop over after 7 nights in the Maldives celebrating our 30th Wedding Anniversary. We decided to stay 2 nights at MBS because we felt ""you've just got to experience it"" but we were a little concerned about a lot of the negative reviews. So we stayed 2 nights and 2 nights at another hotel across the bay.We splurged on a club room with all the benefits (you only have 1 30th anniversary right!) and it was worth every penny. From the quick check in (the people waiting in the lobby did not look very happy with their long wait as mentioned in some other reviews), to the ""complementary"" drinks & canapes in club 55 & also breakfast there each morning away from the crowds was well worth it. Our huge room on the 49th floor was gorgeous with amazing views of the light show each night. The pool - obviously it is pretty crowded but it is mighty spectacular and well worth the effort to get that perfect pic. We didn't go there expecting to relax around the pool all day so we really weren't too disappointed in the amount of people there. We had no trouble getting a sunbed either.All in all, the size and scale was a bit overwhelming at first but we found the staff and service to be excellent, the location is brilliant and we loved every moment.",50,1
37,"Arrived a bit late due to flight complications very pleasant and friendly staff , upgraded Us to a higher room really good , room was fantastic spacious clean loads of extra ‘s the view was to die for,Bed was massive and comfortable the bathroom was out of this world ,we was on the 32 floor, the swimming pool was as it is in the picture amazing had a great stay it’s more of a complex than hotel The restaurants are nice but pricey best bet is go to the food court where it is very reasonable and big selection. The staff are great and very helpful they even ask you how should I address you well I’ve never been asked that before ...fantastic stay Singapore is brilliant . Only thing I point out that’s a down is not enough seating in reception when checking out . Well done Marina bay sands for the experience. ",50,1
38,"As part of our holiday we stayed at the marine sands hotel. Looks impressive on first look but you start to see the cracks underneath. We got offered a late check for my husbands birthday which was nice. We got to our room which was smoking, wasn’t asked our preference. It smelt we had to move this took way too long we got late for my husbands birthday dinner. Then they didn’t put my husbands cake in the room. Even though I gave them specific instructions. Overall the attention to detail is lacking and was really disappointed overall happy to be moving to a smaller boutique hotel can’t wait! ",50,1
39,"I was lucky enough to win a night at the marina bay sands in a charity raffle. As a local I drive past this impressive building every day on my way to work. And I always wondered what the pool at the top would be like. Well, in one word - overcrowded. This is far from the relaxation haven their promotional material would have you believe. We could not even find a spare seat to sit on. The pool staff try their hardest, but trying to distinguish between who is in the pool or who has just left their deck chair for the day and gone home is very difficult. Half of the deck chairs were empty with towels on. And I guess 50% of those had left the pool area entirely! Oh well. It’s very much more a ‘place to be seen’ with people uploading their photos on Facebook and Instagram. Very sad, very shallow, but that’s the world we live in.So the rooms.....again.....not as good as I expected. They are massive in size, but everything feels like 2010. Nothing modernist about it. Bathroom old. Tv old. Great views of course. Comfy king size bed. Reception overrun and takes a long time to speak to anyone. A victim of its own success?",20,1
40,"We had a wonderful stay at Marina Bay Sands. Staff were very welcoming and friendly. Excellent customer service, great breakfast selection, and of course, beautiful decor. Infinity pool is incredible. You will expect a lot of people takings pictures and getting excited, but this is absolutely normal for such worldwide famous location. You might get a chance and take a picture just with you in it and no one else around. The only negative side to it, that the water was quite cold, while the temperature outside wasn’t too warm, therefore you won’t be able to enjoy staying in the pool for a while. However, there are jacuzzi pools available on the other side, facing a beautiful view too.We went to a bar on the roof top and didn’t enjoy it much. It was overcrowded, messy and dj kept playing old music and seemed that he just put on a CD without any effort. However on the other side of the floor there is a very pleasant lounge bar called  Lavo... incredibly beautiful, highly recommend to visit for a tasty dessert and a couple of drinks in a nice environment and a view.Overall, me and my partner had a beautiful experience at this hotel and would definitely recommend to choose it while visiting Singapore. ",30,1
41,"This is a brilliant but busy hotel. Very modern, clean and luxurious. The main attraction is definitely the pool and worth staying here for a night just to be able to go in it. The rooms are very spacious and comfortable - definitely recommend opting for a Garden View if you get the option as it looks over Gardens by the Bay.",50,1
42,Really enjoyed my first visit here Celavi the roof top bar at Marina Bay Sands. The service I experienced was top-notch. World class. Shout out to Mr. Mhiko and the rest of the team. You guys are amazing. Mr. Mhiko is very friendly and attentive in all my needs. You need more staff like mhiko. In fact I don't feel like i'm a newbie guest because the staffs welcomed me so warm and with a big smile in their faces. Will definitely add MBS on my itinerary everytime I visit SG.,50,1
43,Stayed for one night in this classy hotel. We booked a sky view room and it was on the 43 rd floor in the third tower. The room was amazing and not less than a suite. Comfortable bed and all the seven star amenities.The infinity pool was lovely...a bit crowded but it was definitely worth it. The food and beverages were over priced but this was expected.There is a high end shopping mall which is attached to the hotel and a casino for some fun. Hotel is easily accessible by metro and round the clock taxis are available to explore the city.Had no idea about the breakfast as we didn't opt for it.If you're in Singapore and have one day to spare then stay in this hotel is absolutely recommended to have complete Singapore experience and also because in order to use or see infinity pool one has to be a legal guest of the hotel. Visitors are only allowed till the sky observation deck(for a fee) which is couple of floor lower than the infinity pool ( 55 floor).Pictures and words will not do justice.One has to stay to experience this outstanding property.,50,1
44,"Clearly inspired by Vegas with casino and mall with “Shoppes” but misses the mark. The casino is for serious gamblers, with no bar and no atmosphere. Alcoholic drinks are available from the staff wandering around but there is nowhere to sit other than one or two restaurants. The Shoppe mall offers various high end products and a bad copy of the Venetians gondolas. The hotel has Three towers, #1 closest to the main entry, #2 then #3. The observation deck is above tower #3 and open to the general public for a fee. Hotel guests have free access but it is quite busy so not worth the trouble. Rooftop pool is really something to see, there are two pools one for adults only and one shared with kids. The pool attendants are quick to remind wayward children where their pool is and people who try to “reserve” pool chairs with a towel and wander off all day will find their towel removed after ½ hour. We stayed in the Grand King room which offers premium check in and afternoon canapés on level 55. Drinks are expensive in Singapore (2 cocktails + 2 beers = $84.00) so take advantage of the club room privileges where the beer and wine flows freely right till the last minute. The room is large, well-appointed and very comfortable. Certainly worth it if you want to part with the money but after $750.00 Singapore dollars per night I thought it was a bit rude adding another $50.00 for a city view. There really isn’t much in walking distance other than the gardens by the bay but no bars or mini marts etc. No point buying your own beer anyway because the one thing that they did bring back from Vegas perfectly is the useless monitored bar fridge. Now one thing that bugged me was the credit card deposit. $1400.00 up front for two day plus $400.00 bond = $1800.00. Then on checkout they charge another $1400.00 for the room while the $1800.00 is still on the card. It took 5 days for the initial $1800.00 to drop off the card. Would I stay there again? Probably not, but we did enjoy the place and it is really worth it at least once.",50,1
45,"Making it a point not to repeat too much of  what everyone else is on here saying about this landmark hotel.   So I’ll make it quick before I get to why my title says what it says... Yes yes... stay here for access to the amazing rooftop 57th floor infinity pool. You have to be a hotel guest to try it so no choice there.  It’s very convenient!  MRT access right below the hotel, restaurants, shopping... everything you’ll ever need and want is right here!  Awesome  Yup... like most are saying.  The rooms are airy and sizable, not mesmerizing or ultra luxurious but it’s good enough. For my main point...  I highly regard having a relaxing shower or bath while I’m on any vacation.  Especially when visiting a hot humid muggy tropical climate!  One of the highlights of my days or evenings is being able to jump into the shower to have a relaxing bath.  No... I’m not complaining about the marble laden floors and the fancy papered walls, or even the beautiful fixtures that adorn the ceiling and mirrors.  It’s that dreadful high efficiency shower head  that they’ve installed.   The amount of water that trickles out of the sardine can-like indoor water feature is almost as trivial as trying to shower in my greenhouse whilst the delicate misters are running creating a indoor foggy wonderland.  I mean... seriously???  This is a five star hotel with a ridiculously large infinity pool set on top it’s 57th floor.  There’s enormous amounts of water running out the sides of that pool like a Singaporean Niagara Falls... and I’m here trying to wash my crew cut hairdo for 10mins just to get a decent rinse off so I don’t walk out of the shower looking like a elephant just came all over my head and shoulders.  Slightly pissed off at the water pressure... I even unboxed one of those cheapo toothbrushes that the hotel so graciously provides to attempt and clean out the pin-like micro holes in the shower head to get a little more water flow to my semi damp body.   Oh... did I mention when I first turned on the shower the (mister) head was more than half clogged?  The moment I turned on the shower, water was misting in all directions!  At first I thought this was due to an error on my part.  Maybe I just don’t know how to operate this fancy contraption.   My first experience was cold and slightly wet in all the wrong places as I was bare assed and frantically trying to figure out what the hell was going wrong with this shower.   So... if the management is reading this... please install a proper shower head in the bathrooms of your fancy five star hotel.  I just came from a Hoshinoya in Tokyo and they had a awesome shower.  If you’re sooooo worried about guests wasting water then maybe install a timer or just place a placard reminding guests about how scarce clean water is and to not waste such a precious resource.   I seriously don’t think that I’m saving much water by having to take a excruciating 30min shower vs a 5-10min one utilizing a shower head with reasonable flow and pressure!!!   There goes one star for this five star establishment.  ",40,1
46,"Dear Mobotech,Thank you for taking the time to share your feedback with us. I regret to learn about the challenges you experienced with the shower water pressure in your room. I would like to take this opportunity to share that as part of our ongoing Sustainability efforts, we are consistently reviewing ways to better improve our guest experiences whilst adhering to Singapore’s water sustainability guidelines. I have sent you a private message and I hope to hear from you soon.",40,1
47,"First off, this place has 3 huge towers, multiple elevators a subway, casino, stores and restaurants.  Second, I want to send a huge shoutout to the hotel for helping me celebrate my birthday and for the complimentary cake.Don't take this place lightly because you can actually spend a day just at the hotel and have everything you need. I do not know the difference between the towers but I was located in Tower 2. The place is very clean on the outside.  Once arriving at my room, the place was completely clean and smelled fresh.  There are outlets next to the beds to include USB so no need to bring multiple chargers.  I am very happy with the outlet locations since I have CPAP machine and outlets next to the bed are very big to me. The only room complaint I have is that the bathroom light is located at the door.The infinity pool will run your phone crazy with the pictures that you will take.  The water is on the cool side but a comfortable temperature.  The view is amazing and highly recommended to visit.  There are towels, restaurants and a bar located on site so everything is at your fingertips.  If you don't enjoy yourself here, just go back home.",10,1
48,"I decided that I wanted to stay here after seeing it on my first visit to Singapore and then watching the TV program about it and that pool!The pool did not disappoint, I visited in the evening and then again in the morning and both times, despite being a weekend, it was not too crowded. The views were spectacular and the staff were great, could not beat poolside breakfast with a bellini!The room I was in was fine but quite small and plain for a 5 star and not as nice as other places I have stayed hence the reason I have given this hotel 4 out of 5. As only hotel guests can use the pool I would say it is worthwhile staying here just to do that.",50,1
49,"We stayed in the MBS Sands Suite Room and it was huge. Not to mention everything in the mini bar was free (except for the spirits and wine). The view from the room was amazing, as we faced the gardens and could see the sea as well. We would like express our gratitude and compliment our butler Mr Calvin Lam, who was very friendly, professional, and went all the way to meet our needs. We had numerous requests as we had our one-month-old infant and 20-month-old toddler with us, but he was very patient and even gave us a surprise cake, with kueh lapis and drinks as we celebrate the special occasion of our baby girl's full month. Calvin was very energetic and even when we needed something at 10pm, he was still full of smiles and went the extra mile to help us. He arranged everything for us to make sure we felt at home. We could not thank him enough for making this staycation a perfect one.",40,1
50,This place is huge. Only hotels in Las Vegas can match this place for sheer size. The viewing deck on the 56th floor is a view worth the cost of the tickets. Having a beer and checking out the surroundings below you is something people will never forget.,50,1
